time,station,in-flow,out-flow
2017-01-01 00:00:00,世界之窗,384,62
2017-01-01 00:05:00,世界之窗,732,59
2017-01-01 00:10:00,世界之窗,730,18
2017-01-01 00:15:00,世界之窗,437,65
2017-01-01 00:20:00,世界之窗,233,20
2017-01-01 00:25:00,世界之窗,106,16
2017-01-01 00:30:00,世界之窗,81,28
2017-01-01 00:35:00,世界之窗,48,88
2017-01-01 00:40:00,世界之窗,53,29
2017-01-01 00:45:00,世界之窗,44,51
2017-01-01 00:50:00,世界之窗,34,8
2017-01-01 00:55:00,世界之窗,10,12
2017-01-01 01:00:00,世界之窗,8,19
2017-01-01 01:05:00,世界之窗,0,20
2017-01-01 01:15:00,世界之窗,0,4
2017-01-01 06:10:00,世界之窗,3,0
2017-01-01 06:15:00,世界之窗,12,0
2017-01-01 06:20:00,世界之窗,13,0
2017-01-01 06:25:00,世界之窗,10,0
2017-01-01 06:30:00,世界之窗,13,1
2017-01-01 06:35:00,世界之窗,27,2
2017-01-01 06:40:00,世界之窗,24,2
2017-01-01 06:45:00,世界之窗,20,6
2017-01-01 06:50:00,世界之窗,53,7
2017-01-01 06:55:00,世界之窗,17,7
2017-01-01 07:00:00,世界之窗,40,13
2017-01-01 07:05:00,世界之窗,35,12
2017-01-01 07:10:00,世界之窗,59,23
2017-01-01 07:15:00,世界之窗,55,18
2017-01-01 07:20:00,世界之窗,43,22
2017-01-01 07:25:00,世界之窗,74,25
2017-01-01 07:30:00,世界之窗,54,14
2017-01-01 07:35:00,世界之窗,51,23
2017-01-01 07:40:00,世界之窗,57,21
2017-01-01 07:45:00,世界之窗,70,35
2017-01-01 07:50:00,世界之窗,38,26
2017-01-01 07:55:00,世界之窗,62,38
2017-01-01 08:00:00,世界之窗,92,26
2017-01-01 08:05:00,世界之窗,84,43
2017-01-01 08:10:00,世界之窗,85,41
2017-01-01 08:15:00,世界之窗,92,46
2017-01-01 08:20:00,世界之窗,90,79
2017-01-01 08:25:00,世界之窗,99,53
2017-01-01 08:30:00,世界之窗,87,45
2017-01-01 08:35:00,世界之窗,92,92
2017-01-01 08:40:00,世界之窗,95,91
2017-01-01 08:45:00,世界之窗,94,61
2017-01-01 08:50:00,世界之窗,84,129
2017-01-01 08:55:00,世界之窗,82,93
2017-01-01 09:00:00,世界之窗,85,84
2017-01-01 09:05:00,世界之窗,93,102
2017-01-01 09:10:00,世界之窗,113,122
2017-01-01 09:15:00,世界之窗,91,115
