时间,最高价
2015/12/11,3455.55
2015/12/10,3503.65
2015/12/9,3495.7
2015/12/8,3518.65
2015/12/7,3543.95
2015/12/4,3568.97
2015/12/3,3591.73
2015/12/2,3538.85
2015/12/1,3483.41
2015/11/30,3470.37
2015/11/27,3621.9
2015/11/26,3668.38
2015/11/25,3648.37
2015/11/24,3616.48
2015/11/23,3654.75
2015/11/20,3640.53
2015/11/19,3618.21
2015/11/18,3617.07
2015/11/17,3678.27
2015/11/16,3607.61
2015/11/13,3632.56
2015/11/12,3659.31
2015/11/11,3654.88
2015/11/10,3669.53
2015/11/9,3673.76
2015/11/6,3596.38
2015/11/5,3585.66
2015/11/4,3459.65
2015/11/3,3346.28
2015/11/2,3391.06
2015/10/30,3417.2
2015/10/29,3411.71
2015/10/28,3439.76
2015/10/27,3441.57
2015/10/26,3457.52
2015/10/23,3422.02
2015/10/22,3373.78
2015/10/21,3447.26
2015/10/20,3425.52
2015/10/19,3423.4
2015/10/16,3393.02
2015/10/15,3338.3
2015/10/14,3307.32
2015/10/13,3298.63
2015/10/12,3318.71
2015/10/9,3192.72
2015/10/8,3172.28
2015/9/30,3073.3
2015/9/29,3068.3
2015/9/28,3103.07
2015/9/25,3149.95
2015/9/24,3151.17
2015/9/23,3164.04
2015/9/22,3213.48
2015/9/21,3159.88
2015/9/18,3122.05
2015/9/17,3204.7
2015/9/16,3182.93
2015/9/15,3081.7
2015/9/14,3229.48
2015/9/11,3223.76
2015/9/10,3243.28
2015/9/9,3256.74
2015/9/8,3174.71
2015/9/7,3217.58
2015/9/2,3194.49
2015/9/1,3180.33
2015/8/31,3207.86
2015/8/28,3235.84
2015/8/27,3085.42
2015/8/26,3092.04
2015/8/25,3123.03
2015/8/24,3388.36
2015/8/21,3652.84
2015/8/20,3788.01
2015/8/19,3811.43
2015/8/18,4006.34
2015/8/17,3994.54
2015/8/14,4000.68
2015/8/13,3955.79
2015/8/12,3937.77
2015/8/11,3970.34
2015/8/10,3943.62
2015/8/7,3756.74
2015/8/6,3710.57
2015/8/5,3782.35
2015/8/4,3757.03
2015/8/3,3648.94
2015/7/31,3729.51
2015/7/30,3844.37
2015/7/29,3792.07
2015/7/28,3762.53
2015/7/27,4051.16
2015/7/24,4184.45
2015/7/23,4132.61
2015/7/22,4042.34
2015/7/21,4041.82
2015/7/20,4021.33
2015/7/17,3994.48
